iter	Logloss
0	0.6027213681
1	0.5363260888
2	0.4787678935
3	0.4361578337
4	0.4116416938
5	0.3815982203
6	0.3742805322
7	0.3526029221
8	0.3387754637
9	0.3248405623
10	0.3144798012
11	0.3062371937
12	0.2993515366
13	0.2933277337
14	0.2883994327
15	0.2863017603
16	0.2845243296
17	0.2819819336
18	0.2792697681
19	0.2779627343
20	0.2747570606
21	0.2718954482
22	0.2689401072
23	0.2679124538
24	0.2671430802
25	0.2664457007
26	0.2656216288
27	0.2648832659
28	0.2633809205
29	0.2627196319
30	0.2621268043
31	0.26154686
32	0.260979126
33	0.2601878074
34	0.259747529
35	0.2592529263
36	0.2588094371
37	0.2583006419
38	0.2569088487
39	0.2562657003
40	0.2546540407
41	0.2543866651
42	0.2540953961
43	0.2534334182
44	0.2524175001
45	0.2508432357
46	0.2506554084
47	0.2504608813
48	0.2502411425
49	0.250041552
50	0.2497917303
51	0.2488741232
52	0.2487240082
53	0.2485666083
54	0.2484293154
55	0.2476080194
56	0.2474507564
57	0.2473187073
58	0.2471942587
59	0.2471271533
60	0.2470087331
61	0.2469082465
62	0.2468050022
63	0.2466922072
64	0.2466002502
65	0.2465049532
66	0.2464111259
67	0.2463309585
68	0.246240901
69	0.2461291612
70	0.2460382643
71	0.24595381
72	0.2458747615
73	0.2458122423
74	0.2457341364
75	0.2457095063
76	0.2450559694
77	0.2441772496
78	0.2440679148
79	0.2432556056
80	0.2431805727
81	0.2431295601
82	0.243011791
83	0.2429617354
84	0.2429524704
85	0.2429031834
86	0.2428409006
87	0.242792619
88	0.2422554362
89	0.2419818239
90	0.2419136828
91	0.2418397266
92	0.2417843991
93	0.241739855
94	0.2416772146
95	0.2416392087
96	0.2415769796
97	0.2415226397
98	0.2414465443
99	0.2414091961
100	0.2413622637
101	0.2413121761
102	0.2412598555
103	0.2412241793
104	0.2408413651
105	0.2408114062
106	0.2407763201
107	0.2407420096
108	0.240709253
109	0.2406901299
110	0.2406553195
111	0.2402972558
112	0.2402492451
113	0.2402112304
114	0.2401851361
115	0.2401621596
116	0.2401582365
117	0.2400500147
118	0.2400023476
119	0.2399663836
120	0.239940289
121	0.2399156014
122	0.2398967354
123	0.2398916863
124	0.2398379697
125	0.2398150331
126	0.2397629055
127	0.2397353651
128	0.2397165584
129	0.2396949619
130	0.2396945732
131	0.2396908538
132	0.2396522882
133	0.2396369571
134	0.2396173021
135	0.2395933998
136	0.239560878
137	0.2394941367
138	0.2394710596
139	0.2393592385
140	0.2392808535
141	0.2389711261
142	0.2389392652
143	0.2389337743
144	0.2389012785
145	0.2388655762
146	0.2388280082
147	0.238817864
148	0.2387801303
149	0.2387583651
150	0.2387233427
151	0.2387073665
152	0.238671258
153	0.2386433054
154	0.2386050953
155	0.2385776443
156	0.2385444927
157	0.2385220762
158	0.2385023592
159	0.2384743425
160	0.2381774716
161	0.2381041478
162	0.238098357
163	0.2380984321
164	0.2380389844
165	0.2380174701
166	0.2379704665
167	0.2379436431
168	0.2379107718
169	0.2378727038
170	0.2376371988
171	0.2374658072
172	0.2374442435
173	0.2374254089
174	0.2373963366
175	0.2373750414
176	0.2373595657
177	0.237344532
178	0.2373259535
179	0.2372277542
180	0.23718827
181	0.2371721549
182	0.2371526996
183	0.2371349645
184	0.2371328
185	0.2370899165
186	0.2370689411
187	0.2370429988
188	0.2370096708
189	0.2369850489
190	0.2369707754
191	0.2369375677
192	0.2369080303
193	0.2368804135
194	0.2368601681
195	0.2368466517
196	0.2368445949
197	0.2367152006
198	0.2366979401
199	0.2366870649
200	0.2366626789
201	0.2366613013
202	0.2366344126
203	0.2365935061
204	0.2365628298
205	0.2365611629
206	0.2364690759
207	0.2364566344
208	0.2362731301
209	0.2362456958
210	0.2362073388
211	0.2362030366
212	0.2360327128
213	0.2360152393
214	0.2360050309
215	0.23600312
216	0.2359842907
217	0.2359620667
218	0.2359453658
219	0.2359231826
220	0.2359024904
221	0.2358809101
222	0.2358480268
223	0.2358258423
224	0.2358037684
225	0.2357841345
226	0.2357578143
227	0.2357414096
228	0.2357297283
229	0.2357133731
230	0.2356893029
231	0.2356748846
232	0.2356509926
233	0.2356337692
234	0.2356074917
235	0.235595317
236	0.2355571108
237	0.235535308
238	0.2355083442
239	0.2354998606
240	0.2354844958
241	0.2354535718
242	0.2354326975
243	0.2353737153
244	0.2353517174
245	0.2353243306
246	0.2351697388
247	0.2351473648
248	0.2351212543
249	0.2350150499
250	0.2348746836
251	0.2348518723
252	0.234825503
253	0.2348171931
254	0.2348039612
255	0.2347856044
256	0.234703487
257	0.2346944366
258	0.2346826754
259	0.2346582469
260	0.2346347942
261	0.2345378306
262	0.2345251329
263	0.2345189161
264	0.2345037948
265	0.2344767627
266	0.2344534867
267	0.2343825127
268	0.2343610304
269	0.2343481717
270	0.2343377572
271	0.2343301322
272	0.23425733
273	0.2342480417
274	0.2341857661
275	0.2341651345
276	0.2341470835
277	0.234141844
278	0.2341252752
279	0.2341059387
280	0.2340426132
281	0.2340166895
282	0.234002514
283	0.2339835171
284	0.2339739331
285	0.2339602946
286	0.2339416378
287	0.2339270225
288	0.2339159826
289	0.2339042631
290	0.2338851937
291	0.23387001
292	0.2338534025
293	0.2338463852
294	0.2338414076
295	0.2337883937
296	0.2337801838
297	0.2337708313
298	0.2337671012
299	0.2337618684
300	0.2337497157
301	0.2337397031
302	0.2337230421
303	0.2337134141
304	0.233651546
305	0.2336241305
306	0.2336005515
307	0.2335970511
308	0.2335758119
309	0.2335688876
310	0.2335605797
311	0.2335133943
312	0.2335058307
313	0.2334686563
314	0.2334647242
315	0.2334606403
316	0.2334438226
317	0.2333989034
318	0.2333627947
319	0.2333524556
320	0.2333442884
321	0.2333332843
322	0.2333270628
323	0.2333128612
324	0.2333045164
325	0.2332950364
326	0.2332842067
327	0.2332746896
328	0.2332701559
329	0.2332664832
330	0.2332578706
331	0.2332547121
332	0.2332172888
333	0.2332024165
334	0.2331960565
335	0.2331898848
336	0.2331841752
337	0.2331788739
338	0.233149992
339	0.2331465864
340	0.2331354653
341	0.233125077
342	0.2331222451
343	0.233115987
344	0.2331090966
345	0.233076987
346	0.2330659675
347	0.2330629001
348	0.2330541969
349	0.2330236604
350	0.2330189582
351	0.2330039702
352	0.2329984734
353	0.2329929975
354	0.2329784702
355	0.2329699413
356	0.2329641958
357	0.232956052
358	0.2329495556
359	0.2329222092
360	0.2329069033
361	0.232898443
362	0.232888734
363	0.2328756246
364	0.2328704713
365	0.2328491666
366	0.2328337737
367	0.2328267587
368	0.2328170277
369	0.2328038517
370	0.2327906299
371	0.2327735017
372	0.2327621899
373	0.2327506475
374	0.2327431806
375	0.2327354626
376	0.2327094597
377	0.2327042648
378	0.2326906476
379	0.2326813905
380	0.2326743739
381	0.2326583294
382	0.2326530395
383	0.2326479368
384	0.2326390955
385	0.2326366795
386	0.2326316587
387	0.2326253372
388	0.2326163316
389	0.232604254
390	0.2325913581
391	0.2325765766
392	0.2325647908
393	0.232560837
394	0.232553193
395	0.2325420939
396	0.2325352321
397	0.2325230503
398	0.2325060923
399	0.2324830097
400	0.2324788578
401	0.2324716535
402	0.2324593845
403	0.2324537406
404	0.2324321002
405	0.2324294353
406	0.2324223822
407	0.232417812
408	0.2324128476
409	0.2324067384
410	0.2324028015
411	0.232392205
412	0.2323819159
413	0.2323673414
414	0.2323619448
415	0.2323518396
