iter	Passed	Remaining
0	22	22449
1	46	23134
2	67	22481
3	90	22565
4	113	22513
5	134	22341
6	151	21539
7	172	21439
8	195	21498
9	216	21436
10	236	21239
11	257	21188
12	277	21059
13	296	20883
14	316	20786
15	334	20570
16	354	20515
17	374	20443
18	395	20434
19	415	20374
20	435	20289
21	454	20197
22	474	20153
23	492	20042
24	512	20005
25	534	20004
26	555	20014
27	577	20040
28	598	20030
29	619	20046
30	641	20062
31	661	20018
32	682	19984
33	701	19935
34	722	19908
35	742	19885
36	761	19823
37	781	19794
38	802	19781
39	823	19762
40	843	19729
41	864	19718
42	885	19709
43	906	19688
44	927	19684
45	948	19667
46	967	19614
47	987	19584
48	1007	19551
49	1029	19557
50	1053	19607
51	1073	19578
52	1094	19562
53	1113	19505
54	1129	19414
55	1149	19385
56	1171	19381
57	1190	19336
58	1209	19298
59	1227	19233
60	1248	19211
61	1268	19185
62	1287	19147
63	1307	19116
64	1327	19090
65	1345	19043
66	1364	19003
67	1384	18976
68	1404	18953
69	1425	18942
70	1447	18941
71	1469	18941
72	1489	18911
73	1509	18886
74	1529	18858
75	1544	18775
76	1564	18757
77	1585	18746
78	1607	18736
79	1628	18723
80	1647	18695
81	1667	18664
82	1688	18650
83	1709	18637
84	1722	18539
85	1742	18520
86	1763	18505
87	1783	18481
88	1804	18469
89	1824	18451
90	1846	18442
91	1866	18421
92	1887	18404
93	1906	18379
94	1926	18355
95	1945	18322
96	1964	18288
97	1985	18276
98	2007	18265
99	2028	18252
100	2050	18250
101	2072	18242
102	2093	18231
103	2112	18199
104	2132	18178
105	2152	18156
106	2173	18136
107	2193	18117
108	2212	18085
109	2227	18019
110	2240	17942
111	2252	17860
112	2266	17787
113	2279	17714
114	2291	17637
115	2305	17569
116	2316	17479
117	2331	17427
118	2350	17398
119	2368	17371
120	2387	17343
121	2406	17319
122	2426	17301
123	2439	17237
124	2460	17224
125	2480	17207
126	2501	17194
127	2523	17188
128	2543	17175
129	2563	17158
130	2578	17101
131	2592	17050
132	2611	17024
133	2630	16997
134	2651	16987
135	2670	16968
136	2689	16944
137	2710	16929
138	2730	16913
139	2749	16892
140	2769	16875
141	2789	16852
142	2809	16837
143	2826	16804
144	2846	16782
145	2864	16757
146	2886	16748
147	2906	16730
148	2925	16710
149	2946	16695
150	2966	16680
151	2987	16666
152	3008	16655
153	3028	16638
154	3049	16626
155	3070	16610
156	3090	16595
157	3111	16583
158	3132	16568
159	3153	16554
160	3173	16538
161	3194	16523
162	3212	16494
163	3225	16442
164	3245	16425
165	3266	16413
166	3287	16395
167	3306	16376
168	3325	16353
169	3345	16332
170	3366	16318
171	3385	16297
172	3405	16280
173	3425	16261
174	3445	16240
175	3465	16224
176	3486	16212
177	3503	16180
178	3521	16152
179	3541	16134
180	3562	16118
181	3582	16100
182	3603	16086
183	3623	16068
184	3641	16041
185	3662	16026
186	3682	16010
187	3701	15985
188	3721	15967
189	3741	15950
190	3762	15935
191	3783	15921
192	3804	15909
193	3823	15883
194	3843	15864
195	3863	15849
196	3882	15826
197	3903	15810
198	3924	15794
199	3943	15775
200	3963	15755
201	3982	15732
202	4002	15714
203	4024	15702
204	4044	15683
205	4060	15651
206	4080	15630
207	4098	15606
208	4118	15587
209	4139	15571
210	4160	15558
211	4179	15534
212	4198	15514
213	4219	15497
214	4239	15480
215	4258	15455
216	4279	15440
217	4300	15425
218	4320	15407
219	4340	15387
220	4359	15367
221	4379	15348
222	4399	15330
223	4419	15312
224	4440	15295
225	4460	15275
226	4480	15255
227	4499	15235
228	4519	15216
229	4540	15200
230	4561	15186
231	4582	15168
232	4603	15152
233	4621	15128
234	4640	15107
235	4661	15091
236	4681	15072
237	4701	15053
238	4721	15034
239	4742	15016
240	4762	14999
241	4782	14980
242	4803	14963
243	4823	14943
244	4843	14924
245	4862	14902
246	4883	14886
247	4903	14868
248	4923	14849
249	4943	14830
250	4962	14808
251	4982	14790
252	5003	14772
253	5022	14751
254	5044	14736
255	5065	14721
256	5086	14704
257	5107	14688
258	5128	14671
259	5148	14654
260	5171	14641
261	5192	14625
262	5212	14608
263	5230	14582
264	5250	14562
265	5272	14548
266	5293	14532
267	5313	14512
268	5333	14494
269	5354	14477
270	5376	14463
271	5398	14447
272	5419	14431
273	5440	14414
274	5461	14398
275	5483	14383
276	5505	14369
277	5526	14351
278	5545	14331
279	5565	14311
280	5586	14293
281	5606	14275
282	5627	14257
283	5648	14239
284	5667	14218
285	5688	14200
286	5709	14183
287	5729	14164
288	5750	14146
289	5770	14128
290	5789	14105
291	5808	14083
292	5827	14062
293	5847	14042
294	5866	14019
295	5887	14003
296	5907	13982
297	5928	13964
298	5948	13945
299	5968	13926
300	5986	13901
301	6007	13884
302	6028	13867
303	6049	13850
304	6071	13835
305	6093	13820
306	6115	13805
307	6135	13786
308	6158	13772
309	6178	13752
310	6200	13736
311	6218	13713
312	6239	13693
313	6259	13675
314	6278	13653
